PASTA FULLKORN TØRR	13,4	670	4	Kornvarer og frø
PASTA MAKARONI/SPAGETTI KOKT	4,0	200	13	Kornvarer og frø
PASTA MAKARONI/SPAGETTI TØRR	11,9	595	4	Kornvarer og frø
PASTILLER	0,7	28	89	Sukker, søte produkter og godteri
PASTILLER UTEN SUKKER		  aspartam	   aspartam	Sukker, søte produkter og godteri
PASTINAKK	1,7	51	49	Grønnsaker
PEANØTTER 	25,8	1290	2	Nøtter
PEANØTTSMØR	22,8	1140	2	Nøtter
PEKANNØTTER	9,2	460	5	Nøtter
PEPPERNØTTER	6,3	315	8	Kaker og kjeks
PERSILLE, RÅ	3,1	93	27	Grønnsaker
PERSILLEROT	1,7	51	49	Grønnsaker
PHYSALIS	1,8	54	46	Frukt
PINJEKJERNER	13,7	685	4	Nøtter
PISTASJNØTTER SALTET	21,0	1050	2	Nøtter
PITABRØD	7,4	370	7	Bakevarer
PIZZA MED TOMATSAUS OG OST	6,8	340	7	Andre kjøttvarer
PIZZA, TYPE GRANDIOSA ORIGINAL	11,1	555	5	Andre kjøttvarer
PKU MELK (LOPROFIN)*	0,4	10	250	Melk og yoghurt
PKU MELK (PROZERO)*	0,0	0	uten phe	Melk og yoghurt
PLOMME	0,5	15	166	Frukt
POLARBRØD	9,1	455	6	Bakevarer
POMELO	0,6	18	139	Frukt
POMMES FRITES FRYST	2,2	66	38	Potet og potetprodukter
POMMES FRITES GATEKJØKKEN	3,0	90	28	Potet og potetprodukter
POPCORN POPPET UTEN FETT	12,0	480	5	Diverse
POTET HERMETISK	1,3	39	64	Potet og potetprodukter
POTET RÅ	1,8	54	46	Potet og potetprodukter
POTETCHIPS	5,4	162	15	Diverse
POTETCHIPS MED MINDRE FETT	4,0	120	21	Diverse
POTETMEL	1,0	30	83	Kornvarer og frø
POTETMOS AV PULVER MED MELK	1,3	39	64	Potet og potetprodukter
POTETMOSPULVER MED MELK	8,5	340	7	Potet og potetprodukter
POTETMOSPULVER UTEN MELK*	2,5	100	25	Potet og potetprodukter
POTETSALAT MED EKTE MAJONES	1,6	64	39	Potet og potetprodukter
POTETSALAT MED LETTMAJONES	1,5	60	41	Potet og potetprodukter
POTETSALAT MED LETTRØMME	1,9	76	33	Potet og potetprodukter
POTETSALAT MED SETERRØMME	1,8	72	35	Potet og potetprodukter
POTETSKRUER/POTETRINGER	5,0	150	17	Diverse
PRIM	6,7	335	8	Ost
PRIM (MED JERN, SPRETT)	7,0	350	7	Ost
PRIM MAGER	7,0	350	7	Ost
PUFFET RIS	6,0	300	8	Frokostblandinger
PURRE	1,6	48	52	Grønnsaker
PÅLEGG HAPÅ	5,5	220	11	Sukker, søte produkter og godteri
PÅLEGG NUGATTI	4,9	245	10	Sukker, søte produkter og godteri
PÅLEGG SJOKADE	1,1	55	45	Sukker, søte produkter og godteri
PÆRE	0,4	12	208	Frukt
PÆRE HERMETISK	0,3	9	277	Frukt
PØLSEBRØD, FINT	6,5	325	8	Bakevarer
RABARBRA	0,9	27	92	Grønnsaker
REDDIK	0,7	21	119	Grønnsaker
REKER I LAKE, AVRENT	13,2	660	4	Fisk og sjømat
REKER KOKT	23,3	1165	2	Fisk og sjømat
REMULADE	0,9	45	56	Matfett
RIDDEROST	20,0	1000	3	Ost
RIPS	1,2	36	69	Bær
RIS BASMATIRIS KOKT	3,2	160	16	Kornvarer og frø
RIS BASMATIRIS TØRR	9,2	460	5	Kornvarer og frø
RIS HURTIGRIS KOKT	2,9	145	17	Kornvarer og frø
RIS HURTIGRIS TØRR	8,5	425	6	Kornvarer og frø
RIS JASMINRIS KOKT	2,6	130	19	Kornvarer og frø
RIS JASMINRIS TØRR	7,5	375	7	Kornvarer og frø
RIS PARBOILED POLERT LANGKORNET KOKT	2,6	130	19	Kornvarer og frø
RIS PARBOILED POLERT LANGKORNET TØRR	7,7	385	6	Kornvarer og frø
RIS UPOLERT NATURRIS KOKT	2,5	125	20	Kornvarer og frø
RIS UPOLERT NATURRIS TØRR	9,4	470	5	Kornvarer og frø
RIS VILLRIS KOKT	4,8	240	10	Kornvarer og frø
RIS VILLRIS TØRR	14,0	700	4	Kornvarer og frø
RISGRØT MED LETTMELK	3,3	165	15	Annen mat med mel/gryn
RISKAKER	8,0	400	6	Bakevarer
RISMELK (RICE DREAM)	0,1	5	500	Melk og yoghurt
RISOTTO RIS, TØRR	6,4	320	8	Kornvarer og frø
RISPAPIR (Spring roll wrappers)*	5,8	290	9	Kornvarer og frø
ROGNLEVERPOSTEI, SVOLVÆRPOSTEI	12,4	620	4	Fiskevarer
ROSENKÅL FRISK	5,1	153	19	Grønnsaker
ROSENKÅL FRYST	3,8	114	22	Grønnsaker
ROSINER	3,1	93	27	Frukt
RUGMEL SAMMALT	9,6	480	5	Kornvarer og frø
RUGMEL SIKTET	7,0	350	7	Kornvarer og frø
RUNDSTYKKE, FINT, VANN	7,6	380	7	Bakevarer
RUNDSTYKKE, GROVT, VANN	8,1	405	6	Bakevarer
RØDBETE 	1,6	48	52	Grønnsaker
RØDBETER SYLTEDE	1,3	39	64	Grønnsaker
RØMME LETTRØMME 18% FETT	2,8	140	18	Rømme, fløte, melkedessert 
RØMME SETERRØMME 35 % FETT	2,2	110	23	Rømme, fløte, melkedessert 
RØMMEGRØT 	4,3	215	12	Rømme, fløte, melkedessert 
SAFT SUKRET DRIKKEFERDIG	0,1	3	833	Saft og juice
SAFTIS	0,1	3	830	Sukker, søte produkter og godteri
SAGOGRYN*	0,2	6	416	Kornvarer og frø
SALAMI	21,2	1060	2	Kjøttpålegg
SALAMI, DANSK TYPE 	13,9	695	4	Kjøttpålegg
SALAMI, MED MINDRE FETT	21,7	1085	2	Kjøttpålegg
SALAT BLADSALAT	1,2	36	69	Grønnsaker
SALAT FELTSALAT	2,6	78	32	Grønnsaker
SALAT ISSALAT	0,8	24	104	Grønnsaker
SALAT RADICCHIO ROSSO	1,4	42	60	Grønnsaker
SALAT RAPIDSALAT	1,4	42	60	Grønnsaker
SALAT ROMANOSALAT	1,4	42	60	Grønnsaker
SALAT RUCCOLASALAT	2,6	78	32	Grønnsaker
SELLERIROT	1,6	48	52	Grønnsaker
SEMULEGRYN, HVETEGRYN	10,0	500	5	Kornvarer og frø
SENNEP	5,7	285	9	Diverse
SERVELAT	11,6	580	4	Kjøttpålegg
SERVELAT MED MINDRE FETT	12,5	625	4	Kjøttpålegg
SESAMFRØ MED SKALL	17,7	885	3	Kornvarer og frø
SESAMFRØ UTEN SKALL	20,4	1020	2	Kornvarer og frø
SHARON (KAKIFRUKT)	0,7	21	119	Frukt
SITRON	1,1	33	75	Frukt
SITRONSKALL	1,5	45	56	Frukt
SJOKOLADE MED MANDELKROKAN, TYPE DAIM	4,1	205	12	Sukker, søte produkter og godteri
SJOKOLADE MED MINT FYLL, TYPE AFTER EIGHT	2,6	130	19	Sukker, søte produkter og godteri
SJOKOLADE MED NØTTER	9,1	455	5	Sukker, søte produkter og godteri
SJOKOLADE MELK PORØS	9,1	455	5	Sukker, søte produkter og godteri
SJOKOLADE MELKESJOKOLADE	8,1	405	6	Sukker, søte produkter og godteri
SJOKOLADEKAKE TORO LANGPANNE*	3,3	165	15	Kaker og kjeks
SJOKOLADEPUDDING FERDIG	3,2	160	16	Rømme, fløte, melkedessert 
SJOKOLADEPULVER RETT I KOPPEN	11,1	555	5	Sukker, søte produkter og godteri
SJOKOLADEPULVER UTEN MELK	4,5	225	11	Sukker, søte produkter og godteri
SJOKOLADESAUS	2,3	92	27	Sukker, søte produkter og godteri
SJYSAUS AV PULVER	1,0	50	50	Supper/sauser
SKINKE, KOKT, SKIVER	18,6	930	3	Kjøttpålegg
SKONROKK GROV	11,0	550	5	Bakevarer
SKUMGODT, TYPE AHLGRENS BILAR	6,9	345	7	Sukker, søte produkter og godteri
SKUMGODT, TYPE MARSHMALLOWS	3,9	195	13	Sukker, søte produkter og godteri
SKUMMET KULTURMELK	3,2	160	16	Melk og yoghurt
SKYR MED SMAK	10,0	500	5	Melk og yoghurt
SKYR NATURELL	12,0	600	4	Melk og yoghurt
SMULTRINGER	5,8	290	9	Kaker og kjeks
SMÅGODT, BLANDET UTEN SJOKOLADE	3,8	190	13	Sukker, søte produkter og godteri
SMÅGODT, SALTE	8,5	425	6	Sukker, søte produkter og godteri
SMØR	0,5	25	100	Matfett
SMØRBAR OST MAGER 3% FETT	17,0	850	3	Ost
SMØRBAR OST MAGER 7-10 % FETT	18,0	900	3	Ost
SMØRBAR OST, BACONOST	14,2	710	4	Ost
SNØFRISK SMØRBAR GEITOST	6,0	300	8	Ost
SOFT FLORA LETT	0,5	25	100	Matfett
